login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
anandology,anandology/practical-computing-template,2024-10-07T08:47:32Z,0,0,Jupyter Notebook,true,true,MIT License
lunaroyster,lunaroyster/higher-edu-bangalore-list,2024-10-07T05:51:34Z,1,1,null,true,true,
adil-shabab,adil-shabab/butta-bomma-ecommerce,2024-10-07T05:31:41Z,0,0,HTML,true,true,
gja,gja/posthog-js-lite,2024-10-07T05:11:19Z,0,0,null,true,false,MIT License
saishkulkarni,saishkulkarni/employee_crud_new,2024-10-07T05:07:36Z,0,0,Java,true,true,
Tivotal,Tivotal/Animated-Sign-In-and-Sign-Up-Forms-in-HTML-CSS-and-JavaScript,2024-10-07T04:17:30Z,1,1,CSS,true,true,
thatbeautifuldream,thatbeautifuldream/screen-recorder,2024-10-06T18:07:59Z,0,0,TypeScript,true,true,
deepakkapse,deepakkapse/flaskproject,2024-10-06T17:12:49Z,0,0,Python,true,false,
sujithkanna,sujithkanna/docker-qbittorrent,2024-10-06T13:29:22Z,0,0,Python,true,true,GNU General Public License v3.0
FarhaKousar1601,FarhaKousar1601/TTS,2024-10-06T12:21:27Z,0,0,null,true,true,Mozilla Public License 2.0
sumanshekhar698,sumanshekhar698/html_css_js_vanilla,2024-10-06T12:20:51Z,0,0,HTML,true,true,
dubesar,dubesar/worldtimebuddy,2024-10-06T11:29:25Z,5,5,Python,true,false,Apache License 2.0
dubesar,dubesar/ntfy,2024-10-06T10:00:27Z,0,0,null,true,true,Apache License 2.0
anandjha90,anandjha90/snowflake-training,2024-10-06T00:58:02Z,1,1,null,true,true,
pr2tik1,pr2tik1/time-flies,2024-10-05T13:50:11Z,0,0,JavaScript,true,false,
dipakkr,dipakkr/leetcode-questions,2024-10-05T11:49:20Z,0,0,TypeScript,true,true,
priya1793,priya1793/blogging-next-app,2024-10-05T11:17:51Z,0,0,JavaScript,true,true,
Debanshu777,Debanshu777/androidx,2024-10-05T10:42:49Z,0,0,null,true,false,Apache License 2.0
version0chiro,version0chiro/chessGo-api,2024-10-05T10:08:13Z,1,1,Go,true,true,
nishanthvijayan,nishanthvijayan/YouTubeCleanser,2024-10-04T19:50:57Z,0,0,JavaScript,true,true,
Tivotal,Tivotal/Atom-Loading-Animation-using-HTML-and-CSS,2024-10-04T17:03:21Z,0,0,HTML,true,true,
Tivotal,Tivotal/Portfolio-Website-Design-in-HTML-and-CSS,2024-10-04T16:11:47Z,0,0,CSS,true,true,
thatbeautifuldream,thatbeautifuldream/email-editor,2024-10-04T12:23:51Z,0,0,TypeScript,true,true,
marketcalls,marketcalls/openalgo-voice-based-orders,2024-10-04T11:29:31Z,1,1,Python,true,true,MIT License
pr2tik1,pr2tik1/hacktoberfest,2024-10-04T09:20:44Z,0,0,null,true,true,
deepakkapse,deepakkapse/EKS-Terraform-Jenkins,2024-10-04T06:48:05Z,0,0,HCL,true,true,
saishkulkarni,saishkulkarni/employee_crud,2024-10-04T05:16:00Z,0,0,Java,true,true,
Tivotal,Tivotal/Card-Hover-Animation-in-HTML-and-CSS,2024-10-04T04:56:41Z,0,0,HTML,true,true,
pr2tik1,pr2tik1/reflex,2024-10-04T04:38:05Z,0,0,Python,true,true,Apache License 2.0
thatbeautifuldream,thatbeautifuldream/aws-example,2024-10-03T20:56:10Z,0,0,JavaScript,true,true,
KunaalNaik,KunaalNaik/TCS_Qs,2024-10-03T13:23:03Z,0,0,null,true,true,
srijan-paul,srijan-paul/skylighting,2024-10-03T12:12:53Z,0,0,null,true,true,
ushareng,ushareng/NvidiaGraphRAG,2024-10-03T08:40:40Z,1,1,Jupyter Notebook,true,true,
deepakkapse,deepakkapse/EKS-Terraform,2024-10-03T07:07:33Z,0,0,HCL,true,true,
RivuChk,RivuChk/firebase-auth-provider,2024-10-03T05:01:51Z,0,0,Kotlin,true,false,Apache License 2.0
sangam14,sangam14/package-scanner,2024-10-03T04:24:31Z,0,0,null,true,true,
thatbeautifuldream,thatbeautifuldream/mobile-view-not-supported,2024-10-02T21:27:02Z,0,0,TypeScript,true,true,
